id	frequency	board	fill	hasQR	fen	verifiedCount
cee01cd2e1a7cce9b85ea91905f18164	2	Pw,Qw,Bb,Rw,Pb,Qb,Nw,Kw,Pw,,,,,,,Qw,Kw,,,,,,,Kb,Bb,,,,,,,Rw,Nw,,,,,,,Nb,Pb,,,,,,,Qb,Kb,,,,,,,Kw,Nb,Kb,Bw,Nb,Pw,Kw,Bb,Pw	darkRed	0	PQbRpqNK/P6Q/K6k/b6R/N6n/p6q/k6K/nkBnPKbP	1
e3c12c39d4e3d494e0791db519d8e228	3	Nb,Rb,Pw,Qw,Bb,Rw,Kw,Nw,Nw,,,,,,,Pb,Bb,,,,,,,Qb,Kw,,,Pb,Pb,,,Bb,Pw,,,Pb,Pb,,,Rw,Nb,,,,,,,Pw,Bw,,,,,,,Qw,Qb,Rb,Nw,Qb,Kw,Rw,Nb,Kw	darkRed	0	nrPQbRKN/N6p/b6q/K2pp2b/P2pp2R/n6P/B6Q/qrNqKRnK	3
d2c8323f4c5983fa86bd1da05f6abb24	5	Qb,Pb,Qb,Bw,Rb,Pw,Qw,Rw,Bb,,,,,,,Pb,Nw,,,,,,,Kb,Pb,,,,,,,Bb,Kb,,,,,,,Rw,Bw,,,,,,,Pw,Nb,,,,,,,Kw,Bb,Pb,Rw,Nb,Qw,Kb,Rb,Qb	lightRed	0	qpqBrPQR/b6p/N6k/p6b/k6R/B6P/n6K/bpRnQkrq	1
9dee4f6da6f779b75cfa13c93c7d5d01	6	Nw,Nw,Rb,Kb,Qw,Nb,Rw,Bw,Bb,,,,,,,Qb,Rw,,,,,,,Kw,Pb,,,,,,,Rw,Qb,,,,,,,Nb,Nw,,,,,,,Qw,Rb,,,,,,,Kb,Bw,Nw,Pb,Kb,Bw,Nb,Rw,Nw	darkRed	0	NNrkQnRB/b6q/R6K/p6R/q6n/N6Q/r6k/BNpkBnRN	1
ef190ab57c245910318a29d38ebad43d	7	Qw,Bb,Nw,Pb,Kb,Bw,Nb,Rw,Kw,,,,,,,Bb,Bb,,,,,,,Kw,Nb,,,Pb,Pb,,,Pw,Pw,,,Pb,Pb,,,Nb,Kb,,,,,,,Bw,Bw,,,,,,,Kb,Rb,Bw,Rb,Pw,Kw,Bb,Nw,Qw	darkGray	0	QbNpkBnR/K6b/b6K/n2pp2P/P2pp2n/k6B/B6k/rBrPKbNQ	1
156585eba91ae2b67b15b593d572f671	8	Qb,Bw,Rb,Kw,Qb,Nb,Rw,Bb,Bb,,,,,,,Rw,Kw,,,,,,,Pb,Pw,,,,,,,Qw,Nb,,,,,,,Nb,Bw,,,,,,,Rb,Kb,,,,,,,Kb,Kw,Bw,Rb,Pb,Qb,Bb,Rw,Qw	darkGray	0	qBrKqnRb/b6R/K6p/P6Q/n6n/B6r/k6k/KBrpqbRQ	1
ca8c4c4768685a3a660c0c6285b05c75	9	Nw,Qw,Pw,Rb,Bw,Qb,Pb,Qb,Bb,,,,,,,Pb,Kw,,,,,,,Rw,Pw,,,,,,,Bw,Nb,,,,,,,Qb,Bw,,,,,,,Pw,Kb,,,,,,,Rb,Bw,Nb,Qw,Kb,Rb,Nw,Qb,Rw	lightRed	1	NQPrBqpq/b6p/K6R/P6B/n6q/B6P/k6r/BnQkrNqR	1
1870fbbfb8a06e4d62ca07f8ce7b3f3d	10	Pw,Kb,Qw,Nb,Rw,Kw,Qb,Bw,Nw,,,,,,,Qb,Rb,,,,,,,Pb,Kb,,,,,,,Rb,Qw,,,,,,,Bw,Nb,,,,,,,Qw,Rw,,,,,,,Pw,Pw,Bw,Nb,Pw,Kw,Bb,Nw,Pb	lightGray	0	PkQnRKqB/N6q/r6p/k6r/Q6B/n6Q/R6P/PBnPKbNp	1
135483b9b159c919ad8644103d85c423	11	Qb,Qb,Nw,Rw,Kw,Qw,Nb,Nw,Bw,,,,,,,Kb,Rb,,,,,,,Bw,Pb,,,Rw,Rw,,,Nb,Qb,,,Rw,Rw,,,Pw,Bb,,,,,,,Kw,Nw,,,,,,,Bb,Nw,Nw,Bb,Kw,Pw,Nb,Qw,Pw	lightRed	0	qqNRKQnN/B6k/r6B/p2RR2n/q2RR2P/b6K/N6b/NNbKPnQP	1
2929c49f8c5d5e229bdc4e2a60290863	12	Rw,Kb,Rb,Nw,Qb,Kw,Pw,Kw,Rw,,,,,,,Qb,Rw,,,,,,,Pb,Rw,,,Bw,Bw,,,Rb,Rw,,,Bw,Bw,,,Bw,Rw,,,,,,,Qw,Rw,,,,,,,Pw,Rw,Pw,Nb,Bb,Kw,Pb,Nw,Pw	darkGray	0	RkrNqKPK/R6q/R6p/R2BB2r/R2BB2B/R6Q/R6P/RPnbKpNP	1
